timestamp_ms,id,dlc,data
31354,5EB,8,00 30 00 5F FE 00 00 A6
31368,1C7,6,03 E3 84 34 3B E3
31380,5ED,7,02 EF 7A 6E 40 C8 C8
31393,5EB,8,00 30 00 5F FE 00 00 A6
31407,130,6,0F 56 06 00 1D E4
31419,0,8,41 F4 28 00 BF FF 07 FF
31431,5EE,1,20
31442,130,6,0F 9A 06 00 1D E4
31456,130,6,0F 8B 06 00 1D E4
31468,5EF,5,40 00 20 00 07
31480,5ED,7,02 EF 7A 6E 40 C8 C8
31493,5EB,8,00 30 00 5F FE 00 00 A6
31516,130,6,0F 30 06 00 1D E4
31529,2F5,7,00 00 70 14 00 00 FE
31542,1C7,6,03 E3 84 34 3B E3
31555,5EB,8,00 30 00 5F FE 00 00 A6
31567,1C7,6,03 E3 84 34 3B E3
31581,5ED,7,02 EF 7A 6E 40 C8 C8
31593,5EB,8,00 30 00 5F FE 00 00 A6
31606,130,6,0F 9A 06 00 1D E4
31619,0,8,41 F4 28 00 BF FF 07 FF
31632,4BA,8,00 CA 00 BE 06 C1 00 C1
31645,130,6,0F DE 06 00 1D E4
31657,0,8,41 F4 28 00 BF FF 07 FF
31671,551,8,80 00 80 00 80 00 80 00
31683,130,6,0F 12 06 00 1D E4
31695,130,6,0F 03 06 00 1D E4
31712,0,8,41 F4 28 00 BF FF 07 FF
31724,130,6,0F 56 06 00 1D E4
31736,25E,8,88 80 00 C6 C2 77 FF 0C
31750,2F5,7,00 00 70 14 00 00 FE
31762,130,6,0F 9A 06 00 1D E4
31775,1C7,6,03 E3 84 34 3B E3
31788,5EF,5,40 00 20 00 07
31800,5ED,7,02 EF 7A 6E 40 C8 C8
31813,5EB,8,00 30 00 5F FE 00 00 A6
31825,130,6,0F 30 06 00 1D E4
31839,0,8,41 F4 28 00 BF FF 07 FF
31851,5EE,1,20
31862,130,6,0F 74 06 00 1D E4
31875,5EB,8,00 30 00 5F FE 00 00 A6
31888,4BA,8,00 CA 00 BE 06 C1 00 C1
31903,4BA,8,00 CA 00 BE 06 C1 00 C1
31927,130,6,0F A9 06 00 1D E4
31939,0,8,41 F4 28 00 BF FF 07 FF
31951,5EE,1,20
31963,130,6,0F DE 06 00 1D E4
31976,130,6,0F CF 06 00 1D E4
31988,0,8,41 F4 28 00 BF FF 07 FF
32001,5F8,2,00 10
32013,1C7,6,03 E3 84 34 3B E3
32025,130,6,0F 74 06 00 1D E4
32037,0,8,41 F4 28 00 BF FF 07 FF
32051,5F5,8,3E 41 3F 9C 01 66 03 80
32063,5F8,2,00 10
32075,25E,8,88 80 00 C6 C2 77 FF 0C
32089,0,8,41 F4 28 00 BF FF 07 FF
32101,99,1,00
32112,5EB,8,00 30 00 5F FE 00 00 A6
32125,5F8,2,00 10
32140,0,8,41 F4 28 00 BF FF 07 FF
